t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
2,3_0_24,6,1,4.50909e-12,2.8243,204.382,-204.382
2,3_0_24,6,2,5.76729e-12,0.926502,203.313,-203.313
2,3_0_24,6,3,5.26859e-13,-2.76097,213.706,-213.706
2,3_0_24,7,1,2.48031e-12,-0.335711,206.978,-206.978
2,3_0_24,7,2,8.23148e-09,-2.22427,171.768,-171.768
2,3_0_24,7,3,1.28687e-13,-2.78207,219.827,-219.827
2,3_0_24,8,1,1.44378e-13,-0.216302,219.328,-219.328
2,3_0_24,8,2,7.25391e-13,-2.13498,212.317,-212.317
2,3_0_24,8,3,6.43127e-14,-2.63419,222.84,-222.84
2,3_0_24,9,1,1.79465e-14,-0.234726,228.383,-228.383
2,3_0_24,9,2,2.62551e-13,-2.14416,216.731,-216.731
2,3_0_24,9,3,6.90545e-15,-2.65528,232.531,-232.531
2,3_0_24,10,1,7.47453e-14,2.88844,222.187,-222.187
2,3_0_24,10,2,6.18813e-17,0.988257,253.007,-253.007
2,3_0_24,10,3,1.21022e-14,-2.67638,230.094,-230.094
2,3_0_24,11,1,4.02123e-14,2.87002,224.879,-224.879
2,3_0_24,11,2,2.50235e-13,0.979079,216.939,-216.939
2,3_0_24,11,3,3.89108e-14,-2.69748,225.022,-225.022
2,3_0_24,12,1,2.36905e-14,2.98943,227.177,-227.177
2,3_0_24,12,2,4.77908e-13,1.06837,214.129,-214.129
2,3_0_24,12,3,7.15074e-15,-2.5496,232.379,-232.379
2,3_0_24,13,1,1.03668e-12,2.97101,210.766,-210.766
2,3_0_24,13,2,2.66793e-13,1.05919,216.661,-216.661
2,3_0_24,13,3,4.35815e-14,-2.5707,224.53,-224.53
2,3_0_24,14,1,2.2074e-12,2.95258,207.484,-207.484
2,3_0_24,14,2,2.67186e-12,1.05001,206.655,-206.655
2,3_0_24,14,3,5.56294e-13,-2.59179,213.47,-213.47
2,3_0_24,15,1,9.97437e-13,2.93416,210.934,-210.934
2,3_0_24,15,2,4.359e-13,1.04083,214.529,-214.529
2,3_0_24,15,3,1.51815e-13,-2.61289,219.11,-219.11
2,3_0_24,16,1,2.296e-12,3.05357,207.313,-207.313
2,3_0_24,16,2,1.13115e-12,1.13012,210.388,-210.388
