t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,1_0_9,1,4,2.89475e-12,1.07399,206.307,-206.307,3.53469e-07,-6.51967e-07
0,1_0_9,1,5,1.96815e-13,1.56414,217.982,-217.982,1.28655e-09,-1.93373e-07
0,1_0_9,1,6,1.5389e-12,2.28619,209.051,-209.051,-3.54676e-07,-4.08162e-07
0,1_0_9,2,1,9.12149e-13,-2.58486,211.322,-211.322,-3.53436e-07,2.1998e-07
0,1_0_9,2,2,4.45668e-12,0.306801,204.433,-204.433,8.77231e-07,-2.77911e-07
0,1_0_9,2,3,6.45361e-13,0.282532,212.825,-212.825,3.36286e-07,-9.76231e-08
0,1_0_9,2,4,2.21652e-12,1.14942,207.466,-207.466,2.65433e-07,-5.92185e-07
0,1_0_9,2,5,9.9217e-13,1.64648,210.957,-210.957,-3.28277e-08,-4.32937e-07
0,1_0_9,2,6,1.1659e-12,2.3693,210.256,-210.256,-3.37141e-07,-3.28415e-07
0,1_0_9,3,1,6.17963e-13,-2.50096,213.013,-213.013,-2.74714e-07,2.04806e-07
0,1_0_9,3,2,6.92298e-13,0.385457,212.52,-212.52,3.36069e-07,-1.36361e-07
0,1_0_9,3,3,2.92349e-13,0.344634,216.264,-216.264,2.21824e-07,-7.9626e-08
0,1_0_9,3,4,1.54566e-12,1.22484,209.032,-209.032,1.83761e-07,-5.0981e-07
0,1_0_9,3,5,1.76445e-13,1.72893,218.457,-218.457,-2.88328e-08,-1.80813e-07
0,1_0_9,3,6,8.1295e-13,2.45164,211.822,-211.822,-3.03124e-07,-2.50153e-07
0,1_0_9,4,1,2.34435e-15,-2.73948,237.223,-237.223,-1.94217e-08,8.25972e-09
0,1_0_9,4,2,9.47602e-15,0.172305,231.157,-231.157,4.18033e-08,-7.27508e-09
0,1_0_9,4,3,4.2483e-13,0.20799,214.641,-214.641,2.77986e-07,-5.86666e-08
0,1_0_9,4,4,8.33308e-14,1.00701,221.715,-221.715,6.72417e-08,-1.06355e-07
0,1_0_9,4,5,1.58848e-13,1.5064,218.913,-218.913,1.11789e-08,-1.73367e-07
0,1_0_9,4,6,9.52462e-14,2.21179,221.134,-221.134,-8.0444e-08,-1.07822e-07
0,1_0_9,5,1,1.86343e-13,-2.65558,218.22,-218.22,-1.66374e-07,8.78911e-08
0,1_0_9,5,2,2.04673e-14,0.250961,227.812,-227.812,6.04067e-08,-1.54862e-08
0,1_0_9,5,3,1.87554e-13,0.270092,218.191,-218.191,1.8193e-07,-5.03685e-08
0,1_0_9,5,4,8.47996e-13,1.08243,211.639,-211.639,1.88328e-07,-3.54474e-07
0,1_0_9,5,5,2.90785e-13,1.58811,216.287,-216.287,-4.06891e-09,-2.35016e-07
0,1_0_9,5,6,5.60882e-14,2.29538,223.434,-223.434,-6.84243e-08,-7.72973e-08
0,1_0_9,6,1,6.35859e-14,-2.57168,222.889,-222.889,-9.2543e-08,5.93054e-08
0,1_0_9,6,2,1.15301e-12,0.329617,210.304,-210.304,4.42854e-07,-1.51499e-07
